audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__insertion__8701,8701,insertion,confirmado,confirmado,valid,
semantic__insertion__8719,8719,insertion,confirmado,confirmado,valid,
semantic__insertion__8795,8795,insertion,confirmado,confirmado,valid,
semantic__insertion__8891,8891,insertion,confirmado,confirmado,valid,
semantic__insertion__9016,9016,insertion,confirmado,confirmado,valid,
semantic__insertion__9039,9039,insertion,confirmado,confirmado,valid,
semantic__insertion__9189,9189,insertion,confirmado,confirmado,valid,
semantic__insertion__9193,9193,insertion,confirmado,confirmado,valid,
semantic__insertion__9226,9226,insertion,confirmado,confirmado,valid,
semantic__insertion__9258,9258,insertion,confirmado,confirmado,valid,
semantic__insertion__9349,9349,insertion,confirmado,confirmado,valid,
semantic__insertion__9471,9471,insertion,confirmado,confirmado,valid,
semantic__insertion__9485,9485,insertion,confirmado,confirmado,valid,
semantic__insertion__9506,9506,insertion,confirmado,confirmado,valid,
semantic__insertion__9577,9577,insertion,confirmado,confirmado,valid,
semantic__insertion__9646,9646,insertion,confirmado,confirmado,valid,
semantic__insertion__9728,9728,insertion,confirmado,confirmado,valid,
semantic__insertion__10131,10131,insertion,confirmado,confirmado,valid,
semantic__insertion__10156,10156,insertion,confirmado,confirmado,valid,
semantic__insertion__10183,10183,insertion,confirmado,confirmado,valid,
semantic__insertion__10228,10228,insertion,confirmado,confirmado,valid,
semantic__insertion__10333,10333,insertion,confirmado,confirmado,valid,
semantic__insertion__10468,10468,insertion,confirmado,confirmado,valid,
semantic__insertion__10521,10521,insertion,confirmado,confirmado,valid,
semantic__insertion__10561,10561,insertion,confirmado,confirmado,valid,
semantic__insertion__10566,10566,insertion,confirmado,confirmado,valid,
semantic__insertion__10808,10808,insertion,confirmado,confirmado,valid,
semantic__insertion__10860,10860,insertion,confirmado,confirmado,valid,
semantic__insertion__10951,10951,insertion,confirmado,confirmado,valid,
semantic__insertion__11045,11045,insertion,confirmado,confirmado,valid,
semantic__insertion__11083,11083,insertion,confirmado,confirmado,valid,
semantic__insertion__11153,11153,insertion,confirmado,confirmado,valid,
semantic__insertion__11201,11201,insertion,confirmado,confirmado,valid,
semantic__insertion__11217,11217,insertion,confirmado,confirmado,valid,
semantic__insertion__11328,11328,insertion,confirmado,confirmado,valid,
semantic__insertion__11362,11362,insertion,confirmado,confirmado,valid,
semantic__insertion__11406,11406,insertion,confirmado,confirmado,valid,
semantic__insertion__11567,11567,insertion,confirmado,confirmado,valid,
semantic__insertion__11570,11570,insertion,confirmado,confirmado,valid,
semantic__insertion__11628,11628,insertion,confirmado,confirmado,valid,
semantic__insertion__11690,11690,insertion,confirmado,confirmado,valid,
semantic__insertion__11721,11721,insertion,confirmado,confirmado,valid,
semantic__insertion__11752,11752,insertion,confirmado,confirmado,valid,
semantic__insertion__11829,11829,insertion,confirmado,confirmado,valid,
semantic__insertion__11859,11859,insertion,confirmado,confirmado,valid,
semantic__insertion__11908,11908,insertion,confirmado,confirmado,valid,
semantic__insertion__11914,11914,insertion,confirmado,confirmado,valid,
semantic__insertion__11935,11935,insertion,confirmado,confirmado,valid,
semantic__insertion__12181,12181,insertion,confirmado,confirmado,valid,
semantic__insertion__12484,12484,insertion,confirmado,confirmado,valid,
semantic__insertion__12497,12497,insertion,confirmado,confirmado,valid,
semantic__insertion__12725,12725,insertion,confirmado,confirmado,valid,
semantic__insertion__12790,12790,insertion,confirmado,confirmado,valid,
semantic__insertion__12997,12997,insertion,confirmado,confirmado,valid,
semantic__insertion__13001,13001,insertion,confirmado,confirmado,valid,
semantic__insertion__13048,13048,insertion,confirmado,confirmado,valid,
