split,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
validacao_2025_pre_pectra,a_completa,AE,AE:a_completa,0.005,7213,0,0.0,0.0,0.0
validacao_2025_pre_pectra,a_completa,AE,AE:a_completa,0.01,14426,0,0.0,0.0,0.0
validacao_2025_pre_pectra,a_completa,AE,AE:a_completa,0.05,72128,2,2.7728482697426798e-05,0.00015770383220312253,0.0031540657118424944
validacao_2025_pre_pectra,a_completa,IF,IF:a_completa,0.001,1443,1,0.000693000693000693,7.885191610156126e-05,0.07882759932909751
validacao_2025_pre_pectra,a_completa,IF,IF:a_completa,0.005,7213,37,0.005129627062248718,0.002917520895757767,0.5834859775100298
validacao_2025_pre_pectra,a_completa,IF,IF:a_completa,0.01,14426,463,0.03209482878136698,0.03650843715502287,3.6507298322587003
validacao_2025_pre_pectra,a_completa,IF,IF:a_completa,0.05,72128,5753,0.07976098047914817,0.453635073332282,9.072670020114934
validacao_2025_pre_pectra,b_completa,AE,AE:b_completa,0.001,1443,7,0.004851004851004851,0.0005519634127109288,0.5517931953036825
validacao_2025_pre_pectra,b_completa,AE,AE:b_completa,0.005,7213,74,0.010259254124497436,0.005835041791515534,1.1669719550200597
validacao_2025_pre_pectra,b_completa,AE,AE:b_completa,0.01,14426,103,0.007139886316373215,0.00812174735846081,0.8121494011288253
validacao_2025_pre_pectra,b_completa,AE,AE:b_completa,0.05,72128,494,0.006848935226264419,0.038952846554171264,0.7790542308250961
validacao_2025_pre_pectra,b_completa,IF,IF:b_completa,0.001,1443,43,0.0297990297990298,0.0033906323923671346,3.389586771151193
validacao_2025_pre_pectra,b_completa,IF,IF:b_completa,0.005,7213,165,0.022875363926244282,0.01301056615675761,2.602032061869052
validacao_2025_pre_pectra,b_completa,IF,IF:b_completa,0.01,14426,315,0.02183557465686954,0.024838353571991798,2.4837578772386406
validacao_2025_pre_pectra,b_completa,IF,IF:b_completa,0.05,72128,4939,0.06847548802129548,0.3894496136256111,7.78896527539504
validacao_2025_pre_pectra,c_completa,AE,AE:c_completa,0.001,1443,0,0.0,0.0,0.0
validacao_2025_pre_pectra,c_completa,AE,AE:c_completa,0.005,7213,58,0.00804103701649799,0.0045734111338905535,0.914653694475182
